year;amount;movies_16_24;movies_25_34;movies_35_44;movies_45_54;movies_55_64;movies_65_74;movies_75_over
2018;e. Multiple times daily;2;3;2;2;2;3;2
2018;d. Nearly daily;14;12;10;14;13;14;15
2018;c. 3-4 days weekly;21;14;16;18;18;17;16
2018;b. 1-2 days weekly;42;43;46;41;39;35;29
2018;a. No activity;21;28;26;24;27;30;38
2019;e. Multiple times daily;6;4;4;3;3;4;4
2019;d. Nearly daily;15;14;10;16;18;18;16
2019;c. 3-4 days weekly;15;12;14;18;17;17;15
2019;b. 1-2 days weekly;43;42;43;39;36;34;30
2019;a. No activity;22;27;29;24;25;27;35
2020;e. Multiple times daily;5;4;3;3;5;4;4
2020;d. Nearly daily;14;12;13;16;18;18;18
2020;c. 3-4 days weekly;16;15;13;17;17;18;17
2020;b. 1-2 days weekly;42;42;42;43;38;32;31
2020;a. No activity;21;26;28;21;21;26;30