year;amount;tvshows_16_24;tvshows_25_34;tvshows_35_44;tvshows_45_54;tvshows_55_64;tvshows_65_74;tvshows_75_over
2018;e. Multiple times daily;16;11;6;4;2;3;2
2018;d. Nearly daily;31;29;19;16;15;11;12
2018;c. 3-4 days weekly;16;17;18;16;13;12;11
2018;b. 1-2 days weekly;19;22;27;30;33;32;31
2018;a. No activity;18;21;29;34;37;41;43
2019;e. Multiple times daily;21;13;8;5;4;5;3
2019;d. Nearly daily;30;31;27;20;18;17;15
2019;c. 3-4 days weekly;16;16;17;15;14;15;12
2019;b. 1-2 days weekly;16;21;24;30;32;33;30
2019;a. No activity;16;19;25;30;31;30;38
2020;e. Multiple times daily;20;11;7;6;5;4;4
2020;d. Nearly daily;30;30;26;23;19;18;19
2020;c. 3-4 days weekly;17;20;18;16;16;16;14
2020;b. 1-2 days weekly;20;23;28;30;33;35;32
2020;a. No activity;13;15;21;24;28;27;30